Priority,Page Type,Page Title,URL Slug,Primary Topic,Search Intent,Products,Affiliate Status,Affiliate Potential,Buyer Intent,Search Potential,Competition,Content Opportunity,Overall Score,Reason
P0,Alternatives comparison,Best Ahrefs Alternatives 2026,/guides/best-ahrefs-alternatives,"best ahrefs alternatives, ahrefs alternatives free, cheap alternatives to ahrefs",Commercial investigation — evaluating paid SEO tools,"Semrush, Surfer SEO, SE Ranking, Mangools, Moz","Semrush: Class B (apply via Impact.com — $200-$300/sale 120-day cookie); Surfer SEO: Class B (apply via PartnerStack — 75-125% CPA); Mangools: Class B (30% lifetime recurring)",9,9,9,7,9,8.8,"Ahrefs has NO affiliate program — all alternatives DO. Every Ahrefs alternative recommendation is commissionable. High buyer intent. 120-day Semrush cookie is best attribution window in research. Unique content angle."
P0,Head-to-head comparison,ElevenLabs vs Murf AI — Which AI Voice Tool Is Better?,/guides/elevenlabs-vs-murf-ai,"elevenlabs vs murf, elevenlabs vs murf ai, murf vs elevenlabs",Commercial decision — user has shortlisted two tools,"ElevenLabs, Murf AI","ElevenLabs: Class A ACTIVE (22% × 12 months 90-day cookie); Murf AI: Class B — apply at murf.ai/affiliate-program (20% × 24 months PartnerStack)",9,9,7,8,8,8.4,"Both tools have verified affiliate programs. Direct comparison = highest buyer intent content format. ElevenLabs is current active partner. Either user choice generates commission once Murf approved. Specific enough to beat generic review sites."
P0,Pricing breakdown,ElevenLabs Pricing — Which Plan Is Right for You?,/guides/elevenlabs-pricing,"elevenlabs pricing, elevenlabs plans, elevenlabs creator vs pro, elevenlabs cost",Commercial investigation — upgrade decision,"ElevenLabs","ElevenLabs: Class A ACTIVE (22% monthly for 12 months — $1.10-$72.60/month commission depending on plan)",9,9,6,9,7,8.3,"Pricing pages have highest conversion rate. User on this page is deciding whether to pay. Low competition — most coverage focuses on features not pricing-by-use-case. ElevenLabs is current active partner. Immediate monetization."
P0,Best-for guide,Best AI Voice Generator for YouTube Creators,/guides/best-ai-voice-generator-youtube-creators,"best ai voice generator for youtube, ai voice generator for youtube videos, text to speech for youtube",Commercial investigation — content creator choosing voiceover tool,"ElevenLabs, Murf AI, Descript","ElevenLabs: Class A ACTIVE; Murf AI: Class B (apply); Descript: Class A ACTIVE ($25/subscriber PartnerStack)",9,8,8,7,9,8.1,"YouTube creator economy is global and growing. 'For YouTube creators' specificity reduces competition vs generic 'best AI voice generator'. ElevenLabs immediately commissionable. Multi-affiliate opportunity on one page."
P2,Best-for guide,Best AI Tools for Podcast Production,/guides/best-ai-tools-podcast-production,"best ai tools for podcasting, ai podcast tools, ai voice for podcasts",Commercial investigation — podcaster choosing AI tools,"ElevenLabs, Descript, Murf AI","ElevenLabs: Class A ACTIVE (22% × 12 months); Descript: Class A ACTIVE ($25/subscriber); Murf AI: Class B (apply)",9,8,7,8,9,8.1,"Multiple affiliate-eligible tools in one page. Podcast market growing globally. Two active affiliates (ElevenLabs + Descript). Natural multi-product recommendation. Positions LeTrusto as the podcast creator resource."
P1,Best-for guide,Best AI Writing Tools for Content Marketers,/guides/best-ai-writing-tools-content-marketing,"best ai writing tools for content marketing, ai writing assistant for marketing, ai content tools",Commercial investigation — marketing teams evaluating AI writing,"Writesonic, Jasper, Grammarly","Writesonic: Class A (20% × 12 months 60-day cookie ~24h approval); Jasper: Class B (25-30% × 12 months — WARNING: 14-day cookie); Grammarly: Class B ($20/upgrade 90-day cookie)",8,9,9,5,8,7.8,"'For content marketers' specificity reduces competition. All three tools have affiliate programs. Writesonic Growth plan ($399/mo) × 20% × 12 = $957/year per referral. Writesonic 24h approval means monetization can start quickly."
P1,Product review,Writesonic Review — AI Writing and GEO Optimization,/guides/writesonic-review,"writesonic review, writesonic pricing, is writesonic worth it, writesonic vs chatgpt",Commercial investigation — user evaluating Writesonic,"Writesonic","Writesonic: Class A (20% × 12 months 60-day cookie FirstPromoter — verified 2026-08-10 at writesonic.com/affiliate)",8,8,7,8,8,7.9,"Writesonic's GEO (Generative Engine Optimization) positioning is unique and growing. Review positioned around this differentiator stands out from generic AI writing tool reviews. Affiliate program verified with ~24h approval — fast monetization path."
P1,Head-to-head comparison,Jasper vs Writesonic — Which AI Writer Is Better?,/guides/jasper-vs-writesonic,"jasper vs writesonic, jasper ai vs writesonic, jasper alternatives, writesonic vs jasper",Commercial decision — final stage AI writing tool evaluation,"Jasper, Writesonic","Jasper: Class B (25-30% × 12 months — WARNING: 14-day cookie); Writesonic: Class A (20% × 12 months 60-day cookie)",7,9,7,7,8,7.7,"Direct comparison page = high buyer intent. Writesonic is the safer affiliate (60-day vs Jasper 14-day cookie). Both verified programs. Recommend leading with Writesonic recommendation due to cookie advantage."
P1,Best-for guide,Best AI Video Generator for Business Training,/guides/best-ai-video-generator-business-training,"best ai video generator for training, ai video tool for corporate training, ai training video creator",Commercial investigation — L&D and HR teams choosing AI video tool,"Synthesia, Runway","Synthesia: Class B (25% one-time 60-day cookie — apply via synthesia.io/partners/affiliates HubSpot form); Runway: Class B ($15 flat per subscriber — apply via runway.com/affiliate-program)",7,8,7,7,9,7.7,"Corporate training is high-value B2B category. Synthesia's Creator plan ($89/mo annual) at 25% = meaningful commission per sale. 'For business training' is specific enough to reduce competition. Needs Synthesia affiliate approval before CTAs live."
P2,Best-for guide,Best AI Writing Tool for SEO Professionals,/guides/best-ai-writing-tool-for-seo,"best ai writing tool for seo, ai writing assistant for seo, ai seo writing",Commercial investigation — SEO professionals evaluating AI writing,"Surfer SEO, Writesonic, Semrush","Surfer SEO: Class B (75-125% CPA PartnerStack); Writesonic: Class A (20% × 12 months); Semrush: Class B ($200-$300/sale 120-day cookie Impact.com)",8,9,8,5,8,7.8,"SEO professionals are high-value customers. Semrush conversion = $200-$300 — very high commission per sale. LeTrusto's research-backed positioning aligns with SEO practitioner audience. High competition overall but manageable for specific angle."
