category,company,product,official_url,affiliate_program_url,affiliate_status,affiliate_network,commission,recurring,recurring_duration,cookie_days,india_eligible,global_eligible,approval_required,customer_type,price_range,commercial_intent,competition,content_opportunity,letrusto_fit,profit_score,source_url,source_type,verified_date,notes
AI Software,OpenAI,ChatGPT,openai.com,N/A,NO PROGRAM,N/A,N/A,No,N/A,N/A,N/A,YES,N/A,B2C/B2B,$0-$200/mo,HIGH,MEDIUM,HIGH,VERY HIGH,N/A,openai.com/partners/,Official partner page,2026-08-10,No public affiliate/referral program for publishers. Only enterprise partner network.
AI Software,Anthropic,Claude,claude.ai,N/A,NO PROGRAM,N/A,N/A,No,N/A,N/A,N/A,YES,N/A,B2C/B2B,$0-$100/mo,HIGH,MEDIUM,HIGH,VERY HIGH,N/A,claude.com/partners/powered-by-claude,Official page,2026-08-10,No public affiliate program. claude.com/partners is a showcase of API builders only.
AI Software,Jasper AI,Jasper,jasper.ai,jasper.ai/legal/affiliates,ACTIVE,FirstPromoter,25-30% of subscription,Yes,12 months,14,YES,YES,YES,B2B,$39-$59+/mo,HIGH,MEDIUM,HIGH,VERY HIGH,74,jasper.ai/legal/affiliates,Official affiliate agreement,2026-08-10,30% unlocked at 100+ leads AND 100+ conversions in 12-month rolling period. Enterprise excluded. Requires application.
AI Software,Grammarly,Grammarly,grammarly.com,grammarly.com/affiliates,ACTIVE,Impact.com,$0.20/free signup + $20/paid upgrade,No,N/A,90,YES,YES,YES,B2C/B2B,$0-$30/mo,HIGH,HIGH,HIGH,VERY HIGH,74,grammarly.com/affiliates + support article,Official affiliate page + FAQ,2026-08-10,Dual commission: $0.20 per free account + $20 per premium upgrade. 90-day cookie excellent.
AI Software,Midjourney Inc,Midjourney,midjourney.com,N/A,NO PROGRAM,N/A,N/A,No,N/A,N/A,N/A,YES,N/A,B2C,$10-$120/mo,MEDIUM,MEDIUM,HIGH,HIGH,N/A,docs.midjourney.com,Official docs (search),2026-08-10,Searched official help docs; no affiliate program exists. Three results for "affiliate" are all legal document uses of the word.
AI Software,Canva,Canva Magic Studio,canva.com,canva.com/affiliates/,CLOSED,Impact.com,Not publicly disclosed,No,N/A,Not disclosed,UNKNOWN,YES,YES,B2C/B2B,$0-$55/mo,MEDIUM,HIGH,HIGH,VERY HIGH,50,canva.com/affiliates/,Official help page,2026-08-10,Canvassador Program is CURRENTLY CLOSED for new applications. No re-open date stated.
AI Software,Runway AI,Runway,runway.com,runway.com/affiliate-program,ACTIVE,Own platform,$15 flat per new subscriber,No,N/A,Not disclosed,YES,YES,YES,B2C/B2B,$15-$95/mo,HIGH,MEDIUM,HIGH,HIGH,66,runway.com/affiliate-program,Official affiliate page,2026-08-10,Flat $15/subscriber regardless of plan. Followers get 25% off. 3-month pilot period. Application required.
AI Software,ElevenLabs,ElevenLabs,elevenlabs.io,elevenlabs.io/affiliates,ACTIVE,PartnerStack,22% (11% Business plan),Yes,12 months,90,YES,YES,NO,B2C/B2B,$5-$99+/mo,HIGH,MEDIUM,HIGH,HIGH,74,elevenlabs.io/affiliates,Official affiliate page,2026-08-10,Instant signup via PartnerStack. 22% for Starter/Creator/Pro/Scale; 11% for Business; 0% for Enterprise. 90-day cookie.
AI Software,GitHub/Microsoft,GitHub Copilot,github.com/features/copilot,N/A,NO PROGRAM,N/A,N/A,No,N/A,N/A,N/A,YES,N/A,B2B,$10-$39/user/mo,HIGH,MEDIUM,HIGH,VERY HIGH,N/A,partner.github.com/,Official partner page,2026-08-10,GitHub Partner Program is for Technology/Service/Channel partners only. No publisher affiliate program exists.
AI Software,Anysphere,Cursor,cursor.com,N/A,NO PROGRAM,N/A,N/A,No,N/A,N/A,N/A,YES,N/A,B2C/B2B,$0-$40/mo,HIGH,LOW,HIGH,VERY HIGH,N/A,cursor.com/en/pricing,Official pricing page,2026-08-10,Affiliate pages return 404. No mention of referral/affiliate program on pricing or main site.
