Section,Field,Input / Example,Formula or Guidance
"START HERE","Workbook purpose","Turn a lead into a profitable paid project","Use the sections in order: client > scope > quote > delivery > invoice > follow-up > profitability,This is a planning workbook not accounting or legal advice"
"START HERE","Setup","Duplicate the file for a new operating period","Keep the blue input values and replace all DEMO rows before use,Amounts are in INR"
"START HERE","Status key","DEMO / INPUT / CALCULATED","DEMO rows are examples; INPUT cells are for your data; CALCULATED cells contain formulas,Do not overwrite calculated cells"
"CLIENT TRACKER","Record type","DEMO","Use one row per lead or client,Replace DEMO rows with your own pipeline"
"CLIENT TRACKER","Client name","DEMO - Example Studio","Enter the legal or trading name you use for the engagement,Keep client contact details in your secure working system"
"CLIENT TRACKER","Contact / channel","DEMO - email or referral","Record a safe reference rather than unnecessary personal data,Follow your own privacy process"
"CLIENT TRACKER","Service need","DEMO - Website setup","Describe the problem or service requested,Link to the related project row"
"CLIENT TRACKER","Stage","DEMO - Qualified","Use Lead / Qualified / Quoted / Won / Lost,Review weekly"
"CLIENT TRACKER","Next action","DEMO - Send scope questions","Write the next concrete action,Add a due date in your calendar"
"CLIENT TRACKER","Next action date","2026-09-15","Use YYYY-MM-DD,Replace the example date"
"PROJECT & SCOPE","Record type","DEMO","Use one row per project,Scope before quote"
"PROJECT & SCOPE","Project name","DEMO - Website setup","Name the project clearly,Use the same name in quote and invoice"
"PROJECT & SCOPE","Client name","DEMO - Example Studio","Match the client tracker name,Required for review"
"PROJECT & SCOPE","Deliverables","DEMO - 5 pages + handover","Write what is included,Keep exclusions visible"
"PROJECT & SCOPE","Milestones","DEMO - Discovery / Build / Handover","Split work into reviewable checkpoints,Use dates in your project system"
"PROJECT & SCOPE","Included revisions","2","Enter the included revision rounds,Extra revisions should be quoted separately"
"PROJECT & SCOPE","Excluded work","DEMO - Copywriting and paid plugins","State boundaries before work starts,Reduces scope ambiguity"
"PROJECT & SCOPE","Status","DEMO - Scoping","Use Scoping / Active / Review / Complete / Paused,Update during delivery"
"QUOTE PLANNER","Record type","DEMO","Use one row per quote,Use the calculator outputs as a starting point"
"QUOTE PLANNER","Project name","DEMO - Website setup","Match the project and scope rows,Required for quote review"
"QUOTE PLANNER","Estimated delivery hours","24","Enter expected paid delivery hours,Include realistic delivery time"
"QUOTE PLANNER","Hourly floor","1093.75","Use your rate floor from the Freelancer Rate Calculator,Do not treat this as a market quote"
"QUOTE PLANNER","Revision buffer %","15","Enter a buffer for revisions and coordination,Use a higher buffer for unclear scope"
"QUOTE PLANNER","Base quote","=C22*C23","Estimated hours multiplied by hourly floor,Calculated INR amount"
"QUOTE PLANNER","Buffer amount","=C25*C24/100","Base quote multiplied by revision buffer,Calculated INR amount"
"QUOTE PLANNER","Recommended quote","=C25+C26","Base quote plus buffer,Review against scope and client context"
"QUOTE PLANNER","Quote status","DEMO - Sent","Use Draft / Sent / Accepted / Declined / Expired,Only accepted work becomes active"
"DELIVERY LOG","Record type","DEMO","Use one row per project milestone,Track delivery against the agreed scope"
"DELIVERY LOG","Project name","DEMO - Website setup","Match the project row,Required for review"
"DELIVERY LOG","Milestone","DEMO - First review","Name the milestone,Keep client approval evidence in your normal system"
"DELIVERY LOG","Due date","2026-09-25","Use YYYY-MM-DD,Replace the example date"
"DELIVERY LOG","Status","DEMO - In progress","Use Planned / In progress / Blocked / Done,Update after each review"
"DELIVERY LOG","Client input needed","DEMO - Final copy","Note the dependency,Do not include sensitive content in analytics"
"INVOICE & PAYMENT","Record type","DEMO","Use one row per invoice,Connect invoice follow-up to project profitability"
"INVOICE & PAYMENT","Project name","DEMO - Website setup","Match the project row,Required for lookup"
"INVOICE & PAYMENT","Invoice reference","DEMO - INV-001","Use your own invoice numbering,Keep invoice records in your invoicing system too"
"INVOICE & PAYMENT","Invoice date","2026-09-30","Use YYYY-MM-DD,Replace the example date"
"INVOICE & PAYMENT","Due date","2026-10-07","Use agreed payment terms,Review overdue invoices promptly"
"INVOICE & PAYMENT","Invoice amount","35000","Enter INR amount before payment,Input value"
"INVOICE & PAYMENT","Amount received","0","Enter payments received against this invoice,Input value"
"INVOICE & PAYMENT","Outstanding amount","=C40-C41","Invoice amount minus amount received,Calculated INR amount"
"INVOICE & PAYMENT","Payment status","=IF(C42<=0,""Paid"",IF(TODAY()>C39,""Overdue"",""Open""))","Shows Paid, Overdue or Open,Confirm dates and payments before relying on the result"
"PAYMENT FOLLOW-UP","Record type","DEMO","Use one row per follow-up action,Keep the tone factual and polite"
"PAYMENT FOLLOW-UP","Invoice reference","DEMO - INV-001","Match invoice tracker,Required for follow-up"
"PAYMENT FOLLOW-UP","Outstanding amount","=C42","Link to the outstanding amount,Calculated INR amount"
"PAYMENT FOLLOW-UP","Last contact date","2026-10-08","Use YYYY-MM-DD,Replace the example date"
"PAYMENT FOLLOW-UP","Next follow-up date","2026-10-15","Use YYYY-MM-DD,Set a date you can actually follow"
"PAYMENT FOLLOW-UP","Message status","DEMO - Reminder due","Use Not started / Sent / Replied / Escalated / Paid,Do not send repeated reminders automatically"
"PROJECT PROFITABILITY","Record type","DEMO","Use one row per completed or active project,Review after delivery"
"PROJECT PROFITABILITY","Project name","DEMO - Website setup","Match project and invoice rows,Required for review"
"PROJECT PROFITABILITY","Revenue","=C27","Link to recommended quote or replace with accepted revenue,Calculated INR amount"
"PROJECT PROFITABILITY","Delivery hours","24","Enter actual delivery hours,Input value"
"PROJECT PROFITABILITY","Internal hourly cost","450","Enter your internal cost estimate per hour,Use your own cost basis"
"PROJECT PROFITABILITY","Other project costs","2500","Enter tools, contractors or project costs,Input value in INR"
"PROJECT PROFITABILITY","Total project cost","=C53*C54+C55","Delivery hours times internal hourly cost plus other costs,Calculated INR amount"
"PROJECT PROFITABILITY","Profit","=C52-C56","Revenue minus total project cost,Calculated INR amount"
"PROJECT PROFITABILITY","Profit margin %","=IF(C52=0,0,C57/C52*100)","Profit divided by revenue,Calculated percentage"
"PROJECT PROFITABILITY","Decision","=IF(C58<20,""Review scope or price"",""Healthy for current assumptions"")","Use as a review signal not a guarantee,Check assumptions before changing rates"
